,ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,2110227,Butaritari,3.0707,172.7902,28.04,76,93,3.64,KI,1619581972
1,4030556,Rikitea,-23.1203,-134.9692,24.85,74,100,5.21,PF,1619581761
2,625721,Lyuban',52.7985,28.0048,2.97,83,100,2.26,BY,1619581972
3,5983720,Iqaluit,63.7506,-68.5145,-9.0,92,20,1.58,CA,1619581973
4,4020109,Atuona,-9.8,-139.0333,26.65,74,24,5.56,PF,1619582534
5,5847411,Kahului,20.8947,-156.47,27.0,61,40,5.14,US,1619581935
6,5122534,Jamestown,42.097,-79.2353,19.0,48,20,9.77,US,1619581974
7,479028,Unecha,52.8459,32.6739,2.38,84,99,3.78,RU,1619581974
8,2132606,Samarai,-10.6167,150.6667,26.45,79,99,3.54,PG,1619582535
9,1518768,Stepnyak,52.8339,70.7803,12.49,72,57,8.9,KZ,1619582535
10,3839307,Rawson,-43.3002,-65.1023,18.38,43,86,4.97,AR,1619581975
11,2075265,Busselton,-33.65,115.3333,23.33,67,3,0.89,AU,1619582536
12,2163355,Hobart,-42.8794,147.3294,19.44,51,75,4.63,AU,1619582536
13,546105,Nikolskoye,59.7035,30.7861,1.67,86,90,1.54,RU,1619582537
14,5110365,Broome,42.2506,-75.833,19.0,37,90,3.6,US,1619581977
15,2206939,Bluff,-46.6,168.3333,13.33,78,69,6.26,NZ,1619581962
16,3471451,Arraial do Cabo,-22.9661,-42.0278,22.7,82,98,2.83,BR,1619581977
17,2074865,Carnarvon,-24.8667,113.6333,33.0,19,0,3.6,AU,1619581977
18,3466704,Castro,-24.7911,-50.0119,11.51,97,4,2.19,BR,1619581978
19,4031637,Lavrentiya,65.5833,-171.0,0.71,92,100,1.03,RU,1619581978
20,6201424,Mataura,-46.1927,168.8643,13.33,78,100,6.26,NZ,1619581842
21,3833367,Ushuaia,-54.8,-68.3,5.0,87,40,8.23,AR,1619581979
22,3443061,Chui,-33.6971,-53.4616,10.9,85,0,2.83,UY,1619581979
23,5855927,Hilo,19.7297,-155.09,27.0,50,90,1.54,US,1619581838
24,2070998,Geraldton,-28.7667,114.6,30.0,21,2,2.57,AU,1619581980
25,935215,Saint-Philippe,-21.3585,55.7679,25.0,78,0,3.09,RE,1619581980
26,2174444,Bowen,-20.0167,148.2333,25.0,65,75,7.72,AU,1619581981
27,2212775,Sabha,27.0377,14.4283,24.56,14,7,4.01,LY,1619581981
28,232571,Kalangala,-0.3089,32.225,23.43,68,39,5.7,UG,1619581981
29,553416,Kamenskiy,50.8855,45.488,5.94,69,94,2.58,RU,1619581982
30,4032243,Vaini,-21.2,-175.2,23.0,88,90,5.66,TO,1619581982
31,2342490,Funtua,11.5233,7.3081,25.34,51,79,3.82,NG,1619581983
32,1006984,East London,-33.0153,27.9116,16.0,72,0,3.6,ZA,1619581983
33,4726521,San Patricio,28.017,-97.5169,24.44,94,90,6.69,US,1619581983
34,1712961,Gigmoto,13.7796,124.39,29.1,59,74,2.95,PH,1619581984
35,2630299,Hofn,64.2539,-15.2082,4.35,62,4,7.31,IS,1619581984
36,1649150,Bengkulu,-3.8004,102.2655,29.54,66,59,2.1,ID,1619581984
37,2180815,Tuatapere,-46.1333,167.6833,13.33,78,90,6.26,NZ,1619581941
38,3985710,Cabo San Lucas,22.8909,-109.9124,22.22,72,23,6.74,MX,1619581983
39,5880054,Barrow,71.2906,-156.7887,-7.0,86,90,1.54,US,1619581802
40,2067089,Maningrida,-12.0667,134.2667,29.43,69,60,5.21,AU,1619581985
41,5282297,Bethel,41.3712,-73.414,12.0,50,1,1.26,US,1619581986
42,1517060,Zaysan,47.4667,84.8667,17.68,32,45,2.39,KZ,1619581781
43,1633419,Padang,-0.9492,100.3543,29.0,74,20,2.57,ID,1619581987
44,1064275,Ihosy,-22.4,46.1167,18.26,92,90,2.18,MG,1619581987
45,4160812,Key West,24.5557,-81.7826,26.0,61,90,6.17,US,1619581948
46,1516048,Khovd,48.0056,91.6419,14.45,21,99,1.71,MN,1619581750
47,1490256,Talnakh,69.4865,88.3972,-0.85,79,100,5.31,RU,1619581702
48,2155415,New Norfolk,-42.7826,147.0587,19.44,71,98,3.13,AU,1619581988
49,2156643,Mount Gambier,-37.8333,140.7667,16.0,63,75,2.06,AU,1619581809
50,6170031,Tuktoyaktuk,69.4541,-133.0374,-9.0,73,20,5.14,CA,1619581878
51,792945,Banatski Karlovac,45.0472,21.0161,12.22,71,90,11.32,RS,1619581988
52,3874787,Punta Arenas,-53.15,-70.9167,4.0,93,40,3.09,CL,1619581913
53,2123979,Kuril'sk,45.2333,147.8833,3.42,52,70,1.25,RU,1619581989
54,616944,Aragats,40.4889,44.3528,14.0,67,88,1.03,AM,1619581989
55,2194098,Ahipara,-35.1667,173.1667,16.84,57,14,4.86,NZ,1619581990
56,6089245,Norman Wells,65.282,-126.8329,-2.0,40,75,4.12,CA,1619581918
57,5364271,Laguna,38.421,-121.4238,22.0,21,1,2.57,US,1619581953
58,2514651,Los Llanos de Aridane,28.6585,-17.9182,17.0,67,0,3.09,ES,1619581875
59,1259385,Port Blair,11.6667,92.75,30.0,84,40,2.06,IN,1619581991
60,777019,Vardø,70.3705,31.1107,-3.0,63,75,4.12,NO,1619581991
61,2015352,Terney,45.0503,136.6092,5.38,97,100,2.01,RU,1619581991
